page,place_overall,place_gender,nombre,tiempo_neto,division,gender
1,,332,"White, Alex","Finish Gun
02:38:39",18-39,M
1,,333,"Pace, Joseph","Finish Gun
02:38:49",18-39,M
1,,334,"Schaeffer, Andrew","Finish Gun
02:39:10",18-39,M
1,,335,"Giles, Henry","Finish Gun
02:39:10",18-39,M
1,,336,"Floberg, Eric","Finish Gun
02:39:27",18-39,M
1,,337,"Perkins, Jerome","Finish Gun
02:39:12",18-39,M
1,,338,"Cook, Sam","Finish Gun
02:38:55",18-39,M
1,,339,"Martin, Brian","Finish Gun
02:38:42",45-49,M
1,,340,"Reisenauer, Matthew","Finish Gun
02:38:49",18-39,M
1,,341,"Anis, Michael","Finish Gun
02:38:58",40-44,M
1,,342,"Verheyen, Bryce","Finish Gun
02:39:31",18-39,M
1,,343,"Nalban, Valeriu","Finish Gun
02:38:50",18-39,M
1,,344,"Kan, Masato","Finish Gun
02:39:11",18-39,M
1,,345,"Mcgee, William","Finish Gun
02:38:53",18-39,M
1,,346,"Wilder, Matthias","Finish Gun
02:38:45",40-44,M
1,,347,"Hudson, David","Finish Gun
02:38:45",40-44,M
1,,348,"Voehler, Dominic","Finish Gun
02:38:48",18-39,M
1,,349,"Chang, Christopher","Finish Gun
02:39:15",18-39,M
1,,350,"Botário, Diego","Finish Gun
02:39:04",18-39,M
1,,351,"Payne, Jordan","Finish Gun
02:39:39",18-39,M
1,,352,"Dickerson, Drake","Finish Gun
02:40:22",18-39,M
1,,353,"Kaufman, Gabriel","Finish Gun
02:39:19",18-39,M
1,,354,"Emmanuel, Valentin","Finish Gun
02:40:38",18-39,M
1,,355,"Hendriks, Joey","Finish Gun
02:38:53",18-39,M
1,,356,"Montgomery, Connor","Finish Gun
02:38:57",18-39,M
1,,357,"Albaladejo, Gabriel","Finish Gun
02:39:31",18-39,M
1,,358,"Wobeter, Christian","Finish Gun
02:39:01",40-44,M
1,,359,"Iannotta, Michael","Finish Gun
02:38:58",18-39,M
1,,360,"Cook, Colin","Finish Gun
02:39:36",40-44,M
1,,361,"Jadoul, Geoffroy","Finish Gun
02:39:01",18-39,M
1,,362,"Lole, Tom","Finish Gun
02:39:08",18-39,M
1,,363,"Deck, Jason","Finish Gun
02:39:21",18-39,M
1,,364,"Anderson, Alden","Finish Gun
02:39:46",18-39,M
1,,365,"Jutras, Dustin","Finish Gun
02:39:09",18-39,M
1,,366,"Lemelman, Dan","Finish Gun
02:39:20",18-39,M
1,,367,"Phelps, Tyler","Finish Gun
02:39:17",18-39,M
1,,368,"Fambrough, Jason","Finish Gun
02:39:11",18-39,M
1,,369,"Anderson, Zach","Finish Gun
02:39:57",18-39,M
1,,370,"O'Grady, Thomas","Finish Gun
02:39:20",18-39,M
1,,371,"Murphy, Robert","Finish Gun
02:39:13",18-39,M
1,,372,"Drexler, Benjamin","Finish Gun
02:39:26",18-39,M
1,,373,"Gottlieb, Alex","Finish Gun
02:39:44",18-39,M
1,,374,"Hodkinson, Bradley","Finish Gun
02:40:10",18-39,M
1,,375,"Moro, Javier","Finish Gun
02:39:37",45-49,M
1,,376,"Macphail, Taylor","Finish Gun
02:39:35",18-39,M
1,,377,"Israel, Zach","Finish Gun
02:39:26",18-39,M
1,,378,"Cichon, Scott","Finish Gun
02:39:29",18-39,M
1,,379,"Mcmillan, Erik","Finish Gun
02:39:17",18-39,M
1,,380,"Harding, Tom","Finish Gun
02:39:28",18-39,M
1,,381,"Sippel, Ryan","Finish Gun
02:39:38",18-39,M
1,,382,"Carman, Gregory","Finish Gun
02:39:49",40-44,M
1,,383,"Ridgway, Iain","Finish Gun
02:39:23",40-44,M
1,,384,"Kumpula, Jussi","Finish Gun
02:39:25",40-44,M
1,,385,"Combs, Noah","Finish Gun
02:40:07",18-39,M
1,,386,"Harding, Martin","Finish Gun
02:39:33",18-39,M
1,,387,"Beach, Alexander","Finish Gun
02:41:53",18-39,M
1,,388,"Valladares, Jose","Finish Gun
02:45:24",40-44,M
1,,389,"Cutter, Davis","Finish Gun
02:40:15",18-39,M
1,,390,"Kestle, Ryan","Finish Gun
02:39:55",40-44,M
1,,391,"Osiensky, Chris","Finish Gun
02:39:47",18-39,M
1,,392,"Bruno, Vincent","Finish Gun
02:39:45",18-39,M
1,,393,"Liepins, Kristaps","Finish Gun
02:39:44",18-39,M
1,,394,"Inman, Joshua","Finish Gun
02:39:53",18-39,M
1,,395,"Ginell, Keanan","Finish Gun
02:39:36",18-39,M
