page,place_overall,place_gender,nombre,tiempo_neto,division,gender
1,4037,391,"Daigneault, Michelle",03:10:47,18-39,W
1,4038,392,"Wilkinson, Chloe",03:10:54,18-39,W
1,4046,393,"Nolan, Taylor",03:10:34,18-39,W
1,4060,394,"Bourrellier, Marion",03:11:52,18-39,W
1,4061,395,"Hahn, Susan",03:07:33,18-39,W
1,4068,396,"Frank, Madeline",03:08:14,18-39,W
1,4080,397,"Sibthorpe, Allison",03:07:57,18-39,W
1,4084,398,"Drew, Lilia",03:09:22,18-39,W
1,4085,399,"Miller, Allison",03:10:52,18-39,W
1,4087,400,"Levenfeld, Sydney",03:07:18,18-39,W
1,4089,401,"Guo, Yingjia",03:12:18,18-39,W
1,4094,402,"Noshay, Jaclyn",03:08:32,18-39,W
1,4101,403,"Kryvdyk, Marta",03:08:51,18-39,W
1,4104,404,"Lowe, Courteney",03:07:43,18-39,W
1,4105,405,"Rasmussen, Jenna",03:10:35,18-39,W
1,4109,406,"Perkins, Sarah",03:09:18,18-39,W
1,4117,407,"Enger, Julia",03:09:47,18-39,W
1,4123,408,"Power, Catherine",03:07:35,18-39,W
1,4124,409,"Rowland, Melissa",03:11:06,18-39,W
1,4126,410,"Hallahan, Katie",03:09:47,18-39,W
1,4133,411,"Kolarczyk, Katerina",03:07:35,18-39,W
1,4137,412,"Cullen, Margie",03:11:02,18-39,W
1,4142,413,"Diaz, Nicole",03:12:09,18-39,W
1,4143,414,"Golfetto Freitas De Amorim, Karina",03:09:31,18-39,W
1,4154,415,"Toppen, Allison",03:11:17,18-39,W
1,4156,416,"Snelson, Rebecca",03:09:51,18-39,W
1,4160,417,"Reihner, Joanna",03:14:31,18-39,W
1,4162,418,"Cardoso, Kylie",03:12:21,18-39,W
1,4166,419,"Parker, Eliza",03:12:20,18-39,W
1,4168,420,"Patterson, Katrina",03:08:19,18-39,W
1,4173,421,"Kunz, Madeline",03:12:05,18-39,W
1,4183,422,"Creak, Kate",03:11:42,40-44,W
1,4186,423,"Stein, Elizabeth",03:13:23,18-39,W
1,4192,424,"Bittick, Melissa",03:08:42,18-39,W
1,4196,425,"Johnson, Rebecca",03:08:21,18-39,W
1,4197,426,"Ramos Osorio, Miriam",03:07:55,18-39,W
1,4198,427,"Farley, Clare",03:11:31,18-39,W
1,4200,428,"Yahia, Hiba",03:09:08,18-39,W
1,4207,429,"Glatz, Sarah",03:12:08,18-39,W
1,4209,430,"Richardson, Laurel",03:09:38,18-39,W
1,4211,431,"Brown, Libby",03:12:43,18-39,W
1,4219,432,"Head, Kalyn",03:12:20,18-39,W
1,4220,433,"Barriga Vidales, Maria Del Carmen",03:09:05,40-44,W
1,4222,434,"Margel, Charlotte",03:16:42,18-39,W
1,4229,435,"Thom, Hannah",03:15:16,18-39,W
1,4245,436,"Aikman, Erica",03:12:42,18-39,W
1,4249,437,"Dunlop, Maggie",03:14:40,18-39,W
1,4250,438,"Gamble Leith, Nikki",03:11:44,40-44,W
1,4251,439,"Schwartz, Tiffany",03:08:28,18-39,W
1,4260,440,"Brown, Nicole",03:08:51,18-39,W
1,4263,441,"Hajda, Allison",03:12:48,18-39,W
